time,type,mark
1.3598638079378191,0,1.0
1.364815473585083,0,1.0
8.775795445811694,0,1.0
9.343069111878421,0,1.0
9.597371333301853,0,1.0
10.661637016575986,0,1.0
10.670837055259678,0,1.0
15.037403747720536,0,1.0
15.090094102910298,1,1.0
15.180730512619265,0,1.0
18.57322968574239,0,1.0
20.124352049256974,1,1.0
20.156971481304478,1,1.0
23.287242990654796,0,1.0
23.35712867416102,0,1.0
23.615953606982263,0,1.0
23.970458544151345,1,1.0
23.998006505098253,1,1.0
24.04428767723475,1,1.0
24.22177757161353,0,1.0
25.044611527436693,1,1.0
27.695735170254366,0,1.0
27.920392155898764,1,1.0
29.950582312014678,1,1.0
30.40195671475185,1,1.0
39.75697791290783,0,1.0
41.228853555026014,1,1.0
41.56918360224112,1,1.0
42.57527447675401,0,1.0
42.961349253763636,0,1.0
44.29399016849751,0,1.0
44.54310588119011,0,1.0
44.66496115659983,1,1.0
44.744851135548345,0,1.0
44.830454545764205,0,1.0
44.841448595492835,0,1.0
45.49612722789981,1,1.0
49.44348274046379,0,1.0
49.52240496397111,1,1.0
49.580878218835885,0,1.0
49.746898860836,1,1.0
49.90372404991159,0,1.0
49.91723814979525,1,1.0
51.471248877906405,1,1.0
52.68318246420818,0,1.0
61.07354590125517,0,1.0
64.28052061366306,0,1.0
69.88345721801763,1,1.0
70.16048745611641,1,1.0
71.20981653080598,1,1.0
72.66328163907323,1,1.0
72.81101422673774,0,1.0
73.2705498499134,1,1.0
74.65211323050437,0,1.0
74.96789364913145,1,1.0
75.06464385076872,1,1.0
75.37879814605648,0,1.0
77.07565419099494,0,1.0
81.50487649107923,0,1.0
81.5297292944258,0,1.0
82.12245274119401,0,1.0
82.18912963383441,0,1.0
82.24002756679369,1,1.0
82.41951591730685,1,1.0
89.25953088817609,1,1.0
90.21303805221358,1,1.0
90.45757773147419,1,1.0
96.29557285528816,1,1.0
96.4273104622725,1,1.0
96.50449917335257,1,1.0
96.579023992021,1,1.0
96.57909264224227,1,1.0
96.90217969668282,1,1.0
100.33598341261727,1,1.0
105.58934943783375,1,1.0
105.80132396624931,1,1.0
106.15437633332117,1,1.0
106.24614044679451,1,1.0
106.3070716459097,1,1.0
106.5134088541592,0,1.0
108.46286818743722,0,1.0
111.07434661036596,0,1.0
113.37133919352824,0,1.0
114.50130447835586,1,1.0
114.73666888534093,0,1.0
114.87473673676337,1,1.0
114.98870985988414,1,1.0
114.99073450859123,0,1.0
115.0105451773971,1,1.0
115.09346138885742,0,1.0
115.1104401500594,0,1.0
115.34360296176418,0,1.0
117.0482820397125,1,1.0
117.17574513001406,0,1.0
117.18361366479317,1,1.0
117.32805012334894,1,1.0
117.91906480681033,0,1.0
117.9205994777105,1,1.0
117.94160127717593,0,1.0
118.00620847779494,0,1.0
118.49188167942457,0,1.0
118.96959998904457,0,1.0
121.54390556493958,1,1.0
123.59572910000908,1,1.0
124.01076166269193,1,1.0
131.43761669923478,0,1.0
131.44176409743443,0,1.0
134.28643697337955,1,1.0
141.35290995584637,1,1.0
143.0272021369538,0,1.0
146.98716877610948,0,1.0
149.90684797276336,0,1.0
150.00703714676231,1,1.0
