time,type,mark
1819.802306881706,1,1.0
1821.5868841237502,1,5.0
1828.4937858178846,1,1.0
1831.6943082569535,0,4.0
1854.5347330148893,1,2.0
1878.04243429554,0,4.0
1884.199520696059,0,3.0
1891.7804635794007,0,1.0
1893.4024543143107,1,1.0
1904.769421209977,0,3.0
1904.7883277019052,0,5.0
1904.8033740954718,1,1.0
1911.9178890343574,0,4.0
1911.935389939099,1,3.0
1915.2648846364393,1,4.0
1918.8297824893218,1,3.0
1919.2550772205013,1,5.0
1920.6716726171815,0,4.0
1927.5996010389415,1,3.0
1932.2408581292302,1,4.0
1933.9669856931025,1,2.0
1938.7688922114519,1,1.0
1944.3759702041402,1,2.0
1945.1557387821333,0,3.0
1945.9086474653209,1,2.0
1946.3632823335556,0,2.0
1948.8649431415527,1,3.0
1952.1777138648815,1,2.0
1956.8274495126288,1,4.0
1956.9947267247774,1,1.0
1965.9224028514163,1,5.0
1965.9228717415936,0,3.0
1974.206754172983,1,3.0
1981.3099720085543,0,3.0
1983.3816246055208,1,2.0
1990.6827443621537,0,4.0
1994.6414814278685,1,1.0
1998.3722384001387,1,5.0
1998.3988827816231,0,3.0
1998.410706742173,0,5.0
1998.438190128403,0,2.0
2042.6044274644069,1,4.0
2044.7666736195838,1,5.0
2048.6350937227257,0,4.0
2050.425383062575,0,3.0
2057.191658725568,0,4.0
2059.0857560417057,1,5.0
2071.358976903955,1,2.0
2089.588956165553,1,2.0
2094.835961833065,1,5.0
2099.8331051947825,1,1.0
2100.3057762254416,1,1.0
2118.2828338734485,1,2.0
2120.709349973415,0,3.0
2132.7849521386124,1,2.0
2167.2945335501377,0,5.0
2191.3585433017993,1,4.0
2215.086081429103,1,4.0
2215.2276923304967,1,4.0
2229.475517270172,0,1.0
2229.4927456368837,1,4.0
2232.8869760328607,1,3.0
2240.3289956457766,0,3.0
2240.4315629991074,0,4.0
2242.586674351845,1,1.0
2258.098669874982,0,2.0
2263.822000942731,0,1.0
2265.128163268714,0,2.0
2268.36658320602,1,4.0
2268.366634658808,1,1.0
2272.29009371116,0,4.0
2295.3596194619995,1,1.0
2295.366548661178,0,2.0
2297.9918209237135,1,5.0
2297.9918790100933,1,2.0
2297.9956864424366,0,2.0
2324.796388811463,0,4.0
2334.383990984617,0,2.0
2337.1191436900335,0,2.0
2340.0388669907256,1,2.0
2358.3109726129137,1,4.0
2364.521154305205,1,2.0
2372.856832613383,1,3.0
2390.771533474745,0,5.0
2403.0760597653125,0,3.0
2404.0081806251756,0,1.0
2410.742254793309,0,2.0
2414.9106625404143,1,1.0
2426.330137635244,1,3.0
2431.7655677972543,0,3.0
2437.204843231363,0,5.0
2440.9919611446576,1,3.0
2448.8063713269294,1,1.0
2449.202128221496,1,1.0
2453.700782238853,1,3.0
2465.150447332448,1,5.0
2465.155425572315,1,1.0
2465.928747919948,1,1.0
2482.654195571484,1,5.0
2482.6567845097557,1,2.0
2482.6711822756524,0,1.0
2482.6732004964447,0,2.0
2490.018123477264,0,1.0
2495.497933248454,1,3.0
2496.6041366282184,0,3.0
2515.248330951651,1,2.0
2530.760847975555,1,4.0
2531.301440947205,0,4.0
2531.301615430514,1,2.0
2540.54099475414,1,2.0
2577.8444384265745,1,2.0
2580.0218092286673,1,4.0
2584.435695814507,1,2.0
2596.5289281072505,1,1.0
2607.7560405014133,1,3.0
2611.7226190962365,1,2.0
2617.5228127752807,1,2.0
2620.1057075241333,1,3.0
2631.1028958919624,0,4.0
2631.1696109271597,1,5.0
2636.8746237123282,1,5.0
2636.8756566431093,0,4.0
2636.8953720297677,1,1.0
2638.6455359586284,1,5.0
2659.965465999878,1,1.0
2667.178456580678,0,1.0
2679.393171648029,1,1.0
2682.2687652460263,1,4.0
2682.2804919092628,0,2.0
2692.94366820517,0,3.0
2694.751290055772,1,5.0
2694.7547553475915,0,3.0
2694.757692832019,0,4.0
2694.7580445524454,1,3.0
2696.8101034711203,1,2.0
2698.4678760499105,1,3.0
2711.141337820798,0,4.0
2711.1922232791526,1,5.0
2711.1922765921827,0,2.0
2745.5527786403954,1,1.0
2746.379872531098,0,3.0
2746.3803384537973,1,2.0
2749.324474027951,0,5.0
2749.439522220321,0,1.0
2752.8347070754753,0,1.0
2753.167029871387,1,4.0
2754.644500430335,1,4.0
2759.5017965631228,1,2.0
2776.375936267593,0,3.0
2777.603531877367,1,4.0
2786.0929063047206,0,1.0
2788.86192929992,0,4.0
2788.8640079837533,1,1.0
2789.237829209672,1,1.0
2796.559374735376,1,5.0
2796.6245186212705,0,4.0
2797.7991277182023,1,5.0
2806.362190615726,1,2.0
2809.1623821821513,1,4.0
2815.825573403194,1,1.0
2823.665355547708,1,3.0
2824.6915459417505,1,4.0
2824.6935931351654,1,3.0
2836.477227953285,0,3.0
2844.1088431827266,0,2.0
2854.1080332298484,0,1.0
2854.446316792409,1,5.0
2870.9671695799634,1,4.0
2876.289020774977,1,2.0
2882.717351687936,1,2.0
2885.368187871869,1,2.0
2901.788453398831,1,4.0
2901.790565347999,1,2.0
2946.1863571638028,1,1.0
2946.1880161966938,0,3.0
2959.021587483519,1,3.0
